,index,questionText,re_diagnosis,topics,clean_answer_text
130,264,"When I'm not cutting, I'm drinking. When I try healthy outlets such as exercise, I end up running myself down into an asthma attack. From weapons, to words, I can't help but self harm. What am I supposed to do, how do I stop this cycle? I don't know how else to cope or motivate myself without pain.",Mood Disorders,Self-esteem,"It sounds like you are feeling helpless and out of control, you are concerned about your behavior, and at the same time you feel compelled to continue it. In working with a therapist, you may be able to get insight into what is motivating these behaviors, develop strategies for taking care of yourself, and get a stronger sense of who you are motivated to be when you are your authentic self."
131,265,"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.",Mood Disorders,Depression,"It sounds like you are noticing that you are drawn towards sad and negative content and it's hard to understand why. This may sound counter-intuitive, but sometimes we do things that on the surface may look problematic (or even cause us some real problems) because it serves us in some unseen way. A simple example would be somebody who is addicted to a substance; their addiction may be causing serious problems in their life, and they may even know it, but the addiction serves them by helping them to avoid painful feelings that they anticipate having if they quit using. Now I am not saying that what you describe is an addiction, it is just a really illustrative example of the unseen benefit.One thing I would be wondering about is what is the unseen benefit of seeking out sad and negative content? I'd also be wondering what your relationship is to other feelings. These are things you may benefit from exploring with a competent therapist."
132,268,"I have major depression, severe, PTSD, anxiety disorder, and personality disorder. I had an appointment with my doctor. I was very upset, and I shared with him about that particular drug.",Anxiety Disorders,Legal & Regulatory,"Your doctor might be required to tell your psychiatrist - especially if your doctor is concerned about your safety.It was definitely a good thing that you told your primary care physician about what is going on.  I know that must have been difficult to talk about with him.  By having that conversation, you are helping your primary care physician and your psychiatrist work together to best support your health."
133,269,"An organization admitted to implanting thoughts in my head with technologies. The study was to implant a fantasy other people are having, but to me, it's a nightmare. I lost my kids, my job, and all that. I was an unwilling participant. I no longer trust a therapist.  I'm too afraid to go under hypnosis or anything.",Mood Disorders,Trauma,"Given your experience of being imposed upon against your will, and all the personal and professional loss that has come since, your fear of what will happen if you undergo treatment and trust a therapist is understandable. There is no technique or pill that can guarantee these thoughts will go away or be reversed, however, there are things that you can do which may help you to change your relationship to the thoughts and to the distress that they cause. I understand that working with a therapist sounds risky, given your experiences, and at the same time a good therapist may be a beneficial resource in helping you deal with the intrusive thoughts, cope with and alleviate the stress that they create, and perhaps even lead to the alleviation of the thoughts themselves. A therapist may also be able to help you discover strategies to work towards any goals you have around reconnecting with your children and working again. If therapy feels too unsafe at the moment, I would recommend looking into workbooks on how to deal with intrusive thoughts and coping with stress. Some popular approaches that you may want to look into are mindfulness techniques, Acceptance and Commitment Therapy, or Cognitive Behavioral Therapy. You may even be able to find some of these resources at a library, if affordability is an obstacle."
134,278,"My mom made a lot of mistakes a couple years back, and I can't seem to forgive her. I want to say that it's okay, but I can't. I feel like even if I did forgive her, I wouldn't be able to say it to her face.",Mood Disorders,Family Conflict,"Hi Cleveland, I think I get what you're feeling. You're scared that if you forgive your mom, that would mean it wasn't so bad, or she'll think it's okay to do it again, or she won't realize how hurt you are. I invite you to look at forgiveness in a different way. Forgiveness doesn't have to mean what she did was okay. Not at all. Forgiveness can mean ""I accept what she did, and I don't want to live in her worst moments constantly. I want to put it down and move past it because I want her in my life, because fear and resentment interfere with my relationship with her, and mostly because I'm tired of carrying them (fear and resentment) around constantly.""You can forgive your mom for yourself, not for her.  If there is evidence that your mom wants to respect you moving forward, then it might be worth it to risk putting down the resentment and the grudge that you think you need to protect yourself.  Your ability to draw boundaries with her in the present is your biggest protector; let her know in the present what hurts you, and notice her responses.You don't have to say it to her face. Saying it to yourself is more important. Again, forgiving your mom helps you...it reduces your own burden of fear and resentment, leaving space for better things."
135,279,"My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust.",Anxiety Disorders,Parenting,"Well Boise, the cat's out of the bag now, isn't it? I love that you want to help your kids keep the magic of Christmas. They must want that too if they still believe in Santa into their teen years, which is unusual, I believe. I wonder if they had already figured it out anyway?But they know now, and your ex had the right to tell them if he felt it was best. So it's time to explain to them what a loving and magical thing it is that parents do, and Christmas can still be magical in so many ways. Really, who says they have to stop believing in Santa? Santa is very real as a spirit of surprise, generosity and love."
136,281,"My mom made a lot of mistakes a couple years back, and I can't seem to forgive her. I want to say that it's okay, but I can't. I feel like even if I did forgive her, I wouldn't be able to say it to her face.",Mood Disorders,Family Conflict,"How someone feels when they forgive another, is at peace with themselves and their understanding of what went wrong, who was responsible for what in the situation, and clarity on their own motivation, actions, emotions including pain, regret, resentment, sadness.These steps ideally allow a new door to open in order to develop new paths in the existing relationship or accept that this will not be possible due to either person's way of handling themselves.The long answer would be that you're not yet through with this process.I commend you on being truthful with yourself about yourself.You're on the right track by expecting to feel resolved when you've reached resolution, and not before.Finding patience with the unpredictable amount of time needed to thoroughly examine all the details of the incidents you mention, sometimes is a frustration of its own.Keep up your good work of knowing your own life.It is a worthwhile endeavor!"
137,283,"I crave attention, companionship, and sex. She has had a hysterectomy, and she has a bad knee.",Mood Disorders,"Human Sexuality,Intimacy,Marriage","Hi Hampton,Although I'd bet your wife also wants the attention and companionship, it seems that there are a few barriers in your sexual relationship right now. I also would bet that there are things that your wife would like from you. This is a very common issue; two people with different sexual drives or needs. If you both want the relationship to improve, a couple's therapist who works in sexuality is a great idea; it's a complex picture that you've only given us a glimpse of.In the meantime, you can try a few things: have compassion for your wife. She's in pain and this may preoccupy her. Sex may be uncomfortable for her. She needs understanding. You need understanding too, right?  Help her to see that you're not just angry, but lonely and hurt; it might affect how you see yourself as a man. Showing her irritability or anger might push her farther away.There are many ways to be close, intimate, and sexual that don't involve intercourse. You might want to explore some of these things and reassure her that you won't pressure her to have intercourse. Find out what your wife's wishes and ideas are. You might be surprised.These things take time to address, especially if they've been years in the making. I do recommend seeing that therapist. Relationships are very complex and it takes time to explore all the layers and barriers to change. Best of luck."
138,286,"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.",Mood Disorders,"Addiction,Substance Abuse","The first step to change is to admit that you have a problem that is in need of change.  Frequently our problems keep us in denial.  Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone.  The best course of treatment for you is to treat all of these problems together.  Alcohol detox can be very dangerous so it is important that you do this under the supervision of a medical provider; preferably someone who specializes in addiction.  Know also that although marijuana may not appear to be as big as a problem as alcohol is, it will cause you to have an increase in alcohol cravings so complete abstinence from drugs and alcohol is needed. I really recommend an inpatient stay for at least 30 days for anyone who is dealing with addiction, whether combined with mental health issues or not.  If this is not a possibility, then the next best thing would be an Intensive outpatient program that treats both addiction and mental health issues.  Know that there is hope for what you are experiencing.  You can get control over these issues.  The next step is finding the team and/or facility that is going to help you do it."
139,289,"Just wondering if this is a deviant act, and if I should be concerned for him. He isn’t quite 10.",Anxiety Disorders,Parenting,"Well it's certainly unusual, and potentially could be cause for alarm. It's a passive aggressive act if done intentionally, so I would wonder if this child is trying to say something.I think without any context, however, or sense of whether there are other signs of disturbance, it's impossible to say what's going on. If there are other signs of distress or very unusual behaviours, you might bring the child to someone who can assess him properly."
140,293,I didn't trust my wife when I found out that she had a new guy friend that she was texting and calling. I investigated him before I found out that he was gay and that there was nothing going on. Now all my wife and I do is fight about trust.,Mood Disorders,"Marriage,Intimacy","Hello. Being unable to trust your significant other certainly can cause one to feel unsettled. Has your spouse ever done anything questionable that would cause you to not trust her? If so, then it will take time and some work to gain the trust back. Couple's counseling would be of benefit. If not, then you may want to consider seeing a therapist on your own in order to better learn where your insecurities come from. There are several possible reasons why you may be feeling insecure but without knowing them, the issue is not likely to get resolved. In the meantime, I suggest that when you're feeling upset and are unable to trust what your wife says/does, think before you speak. Ask yourself if you have valid reasons to not trust her. Instead of arguing, try and communicate how you're feeling and let her know that resolving this trust issue will be a top priority for you so that you can focus on other aspects of your relationship. Hope it all works out for you both!"
141,297,I didn't trust my wife when I found out that she had a new guy friend that she was texting and calling. I investigated him before I found out that he was gay and that there was nothing going on. Now all my wife and I do is fight about trust.,Mood Disorders,"Marriage,Intimacy","Instead of fighting about trust, is it possible for you and your wife to talk with other about areas which upset each of you?Whenever feelings are hurt, knowing what exactly is problematic and being heard and understood by the partner, goes a long way to building trust.These type of discussions are hard to have, and especially for the first time.  A lot of emotions arise and often people lose their conversation focus from this.If you and your wife have a tough time opening up to each other, consider scheduling time with a couples therapist.Just by each of you committing time to invest in the relationship will show faith in the relationship, and this may contribute to restoring trust."
142,300,"My husband and I got into a huge dispute. He said he wanted a divorce, and I left. I still come home a lot and see my kids, and he has not filed yet even though he still said he is. What does that mean for our marriage?",Mood Disorders,Relationship Dissolution ,"In situations like this, in most cases, he probably will not fill anytime soon. It's more of the fact that he isn't ready to give that life yet... Now if you probably pressured him about it then yes, he would probably give in.. But if it hasn't been a big issue anymore or something you guys aren't talking about, then right now.. Everything is on a hold."
143,301,I was violently raped by another women who was my friend of 13 years. I’m having bad flashbacks. I’m scared to sleep because I see it in my dreams. I don't leave the house because I have panic attacks.,Anxiety Disorders,"Trauma,Anxiety","I'm sorry for your suffering.There are therapy programs which help people to gradually feel more at ease so that daily living does not feel so frightening.Once you feel stronger and more secure from such a behavioral program, you'll be able to sleep more peacefully and leave the house whenever necessary to do your regular life.Then, you will be able to open and clear the deep emotional hurt that always occurs from being violated by a trusted friend.Sending good wishes in your work!"
144,302,"I'm in my early 20s. I’ve been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself.",Mood Disorders,Self-esteem,"Sounds as though you're taking the blame for the bad actions of your former husband.He did an ugly action, and instead of feeling only your own emotions in response to being cheated on, you are holding his ugly behavior within you and feeling it.Does this sound like a possible explanation of why your feeling of ugliness started after the cheating incident?You may start feeling better by looking within your own heart for the full effects of having been hurt.  It is possible there is more suffering within you than you've realized until now.As you address all the emotional pain you've lived through, the feeling of ugliness may drop out all of its own. Because you'd be focused on you, not on any of the ugliness introduced into your life by your cheating ex husband."
145,311,"My girlfriend broke up with me five months ago because I said awful things to her one night for no reason of hers. I have been trying to get her back, but it isn’t easy. She is in her 50s and I am in my 40s. She is the one I want for my life, and this is killing me. Every day, I cry, and I am desperate for help.",Anxiety Disorders,Relationships,"New York, what would it mean about you if you got her back? Is that the only way you can like or forgive yourself...if she forgives you and takes you back? Your self respect doesn't need to rely on this working with her. She simply doesn't want to be with you, and every day that you refuse to honour her decision is another day that you hurt her all over again. Move on and heal, perhaps with the help of a therapist."
146,312,"I’m a teenager. My entire family needs family therapy, and more than likely individual therapy. My parents refuse to take action, and I'm tired of it. Is there any way I can get out of this myself?",Anxiety Disorders,"Family Conflict,Legal & Regulatory","This sounds like a really tough situation.  As a teenager, you may be able to get counseling on your own (without needing your parents' consent) under some circumstances.  If your parents are refusing to consider counseling, you might want to try talking to your doctor or another trusted adult about finding some counseling resources - even without your parents' help."
147,313,"After a domestic abuse situation, I went to a therapist, and then my husband went. The therapist discussed her assessment of borderline personality disorder with me. She then told my abuser the results of my tests.",Anxiety Disorders,"Domestic Violence,Legal & Regulatory","It sounds like it may have been a violation of confidentiality for your therapist to disclose information about you without your permission.  There are some exceptions to the general rule of confidentiality however.  For example, when a therapist has a reasonable concern that a client (or someone else) is in imminent danger, he or she is generally allowed to disclose confidential information to protect that person.If you believe your counselor has violated your confidentiality, you can always contact your states' counseling regulatiory board.  The board will then investigate the allegations and can take appropriate action."
148,315,"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",Anxiety Disorders,"Anxiety,Parenting","That's a good question. I would say learn to pick your battles. What types of behavior/situations can you let go of? If you allow yourself to worry about the various areas in life that you cannot control, you will find yourself stressed out and unable to manage everything. Know that toddlerhood comes with lots of ""no's,"" tantrums, non-compliance, and a growing need for independence. When your toddler does something that you don't approve of, remain calm, explain to him/her the appropriate way to act, and model it for him/her. Remember to give your toddler praise when he/she does something good or acceptable. Be consistent and follow through with your instructions. Finally, know that you are not alone. Parenting comes with its set of challenges but all you can do is your very best. Good luck to you!"
149,316,"I love my boyfriend and everything that leads to sex, but when it comes to the actual penetration, I hate it. I don't know why, but I just want it to be over. I feel like crying. I don't know why I don’t like it because all of my friends enjoy it.",Mood Disorders,"Intimacy,Human Sexuality,Relationships","Does your boyfriend notice that you hate sex?If ""yes"", then it is a topic which the two of you would gain deeper understanding of each other, by discussing.If ""no"", then possibly one reason for hating sex is that your boyfriend doesn't notice who you are as a person, not simply a physical body engaged in sex."
150,318,"I have no idea what happened. I go places and do things but still feel lonely. I honestly have no friends, and I am always the one texting people and bothering people. I feel invisible, like someone that no one wants to be around.",Anxiety Disorders,"Intimacy,Social Relationships","A lot of times any and each of us creates what we need for ourselves by seeing other people as creating these circumstances and situations.Is it possible that at this time period in your life, being alone is positive for sorting through your true values or sorting through key situations in your life?If ""yes"", then possibly you are giving yourself some alone time, even though to some degree being alone is not your first choice.At the very least, since you aren't happy with being the one who texts others, then some alone time may encourage new thoughts and ideas creating more open space within you to attract other people who do enjoy texting you first.Also, most relationships are not forever.  Is it possible you are at a phase when some relationships are simply closing down so that you have clear space within your life for new and different activity?"
151,319,"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",Anxiety Disorders,"Anxiety,Parenting",Trust that you are a good mother and that you love your child.Trust and love are their own authority and come from a different inner place than the urge to be obeyed.Trust and love are effective guidance and usually feel happier and lighter too!
152,320,"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?",Mood Disorders,"Trauma,Military Issues ","You are right on to recognize that the effects of trauma can be cumulative.  It is very possible that a car accident could lead to an increase in PTSD symptoms that were related to other traumatic experiences.If you have been deployed to a combat area, you are most likely eligible for free counseling services through the VA Vet Centers.  The Vet Center clinicians typically have a lot of experience working with military trauma. Here's a link to a directory of Vet Centers:http://www.va.gov/directory/guide/vetcenter.aspYour service and sacrifice is greatly appreciated."
153,322,"I have family issues, and my dad was both violent and a cheater.",Mood Disorders,"Trauma,Family Conflict","I can imagine how incredibly difficult this must be for you. Having past traumatic experiences creap up on you without warning can be very scary and stressful. You may be suffering from symptoms related to post-traumatic stress disorder. Getting evaluated by a professional would be a good step to take next. By seeking treatment and having a therapist who you trust and can connect with, you will gain the ability to think about your experiences without it significantly interfering with your daily functioning. A therapist can also help you to develop new coping stragies to be used during recall of these experiences and help you to adopt healthy thought patterns. I would also recommend that you seek support from loved ones. Sometimes just talking about your experiences and associated feelings will alleviate some of the emotional troubles you are suffering from. Lastly, you may find meditation or mindfulness work to be of great benefit. Having the ability to live in the present moment should reduce the effects of your traumatic experiences interfering with recalling your past or looking forward to your future. I wish you all the best!"
154,323,"I have family issues, and my dad was both violent and a cheater.",Mood Disorders,"Trauma,Family Conflict","Hi New York, There's no way to keep your past from affecting your present and future, because it's a huge part of who we are. The GOOD news is, though, that the effect doesn't have to be negative. I'm met many people who have horrific pasts and it helps them know confidently, every day, what kind of person they want to be and what kind of world they want to live in, and it helps them make really great decisions. You can accept your past, integrate your traumas and move forward in a very different way. If you see negative ways in which your past affects you (and this is also common), you are wise to seek professional help. Without knowing more, it's impossible to give you a lot of direction here. Basically, our past creates emotional ""bruises"" that are touch on and triggered by present situations. But our reactions are often about more than just the present moment. I think you know that.I wish you the best as you sort it out."
155,325,"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?",Anxiety Disorders,Parenting,"Hi Dillon,I'm from Canada, so I don't know the laws in your state. It depends on that a good deal, perhaps. In my opinion, a child should never be forced into a situation where they feel unsafe, even if it is ""supervised"". If the child is old enough to make a strong statement about not wanting to see a parent, then this should be honoured. Unfortunately, the laws don't always uphold a parent's right to do what is best for their child. I recommend you see a lawyer, who will advise you about how to proceed without putting yourself at risk of breaching custody agreements.If you feel your daughter can benefit from therapy, that is a separate question. Or is she already in therapy? A family therapist will typically meet with you alone first, in order to determine if therapy is a wise move for your child. It isn't always appropriate."
156,328,"I have family issues, and my dad was both violent and a cheater.",Mood Disorders,"Trauma,Family Conflict","Sorry that your growing up years in the family were so unsafe and painful.Everyone has family legacy patterns of behavior and ways of handling emotions, handed down to them simply by living.All of what any child observes and how they are treated within their family context, creates their foundational expectations of others.The best way of releasing yourself form hurtful interaction patterns is by being aware of your own feelings and intuition within close relationships.If you have a similar sense of hurt or that something is wrong, yet in a familiar way, then most likely you are in a relational pattern similar to the negative ones in your family of origin.This realization moment is your chance to more deeply see your own original trauma and try different ways of responding to these similar key situations.This type of work takes a lot of repeated effort because trauma is deep and childhood trauma is attached to loving ones parents.Expect slow progress and expect more than a few tears.If it feels overwhelming then a therapist for guidance and support would be very beneficial to the work you'd be doing within yourself.Sending lots of good luck!"
157,329,"My boyfriend recently got a kitty. I hate cats in general, and he knows it. It grosses me out and makes me very upset when he pets his cat. I want to throw out the cat. I feel very jealous.",Mood Disorders,"Relationships,Intimacy","Sorry for you and sorry for the cat because you're each in a tense position.What was the context of your boyfriend adopting a cat since he was aware that this would likely cause problems in the relationship with you?If you don't already know his answer, then find out.  Doing so will tell you a lot about your boyfriend's expectations about you.  Does he expect you to accept without question, whatever he does?  Does he care about your views?  Does a cat have some deep meaning for him that having one is essential to his life and he never told you so?Please don't be mean to the cat.  Its not the cat's fault for being in your boyfriend's care.There are plenty of other cats on this earth so throwing out the cat will not solve anything between you and your boyfriend.Who knows, your boyfriend may come back home with three more cats!Start with a conversation about your feelings and his interest in your feelings."
158,330,"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?",Anxiety Disorders,Parenting,"Has the father or the visitation supervisor contacted you regarding why your daughter hasn't shown up for the past three years' worth of supervised visitation?Or is the supervised visitation a new development for the bio dad and your daughter?If no one is pressuring or expecting your daughter to show up, no one has even asked where she is, why she isn't present, then I don't see any reason for you to offer more effort by your daughter, than the father is willing to make for seeing her.If your daughter is willing to talk with a therapist, then let her find out first hand if the sessions seem useful or not.The one move I'd avoid is to force your daughter to go to a therapist since growing up in a household in which child abuse took place, being forced may remind her of her own feelings from this past, of feeling no one heard or cared about the way she wanted to be treated."
159,335,"I just had a newborn. When I brought him home, my mom told me to leave. Now I'm in a women's home. I don't see my boyfriend that often because he works. The women's place is helping me find an apartment so I can go back to work and get child care.",Mood Disorders,"Depression,Family Conflict","Congrats on the birth of your son!Was your mom's request for you to leave her house, one which she asked awhile ago or was this her greeting when you walked in the door?My question is whether your mom had some changed circumstance in her life, whether she and you discussed living arrangements prior to your son's birth, or whether nothing was talked about, you assumed you'd be living with her, she assumed you wouldn't, and the two of you didn't speak to one another about any of this.Depending on the answers, there may be clues as to handling future expectations of others, especially your mom.From what you write, the women's home is supportive of your basic daily living needs.   It is good news that the people who run this home know and offer community resources.In your interactions with the staff of the women's home, ask all the questions necessary so you'll have a clear understanding of the apartment lease, anything at all that is on your mind about becoming employed and finding childcare.The point is to have all the major steps you're about to start, addressed.This way, you'll be minimizing the possibility of any sudden bad news by the women's home, told to you.Sending lots of good luck!"
160,336,"I have been married for 20 years. He and I both cheated. I hid my cheating for 14 years. Over that time, I let life stress me out. I became depressed. When I finally woke up, he felt I had pushed him out.",Mood Disorders,"Marriage,Intimacy","Do you both want to fix the marriage?The relationship belongs to both of you so that one working without the other cooperating in this work too, will have one person who does all the changing.This dynamic itself creates problems of its own.About your husband telling you he feels pushed out, did he do anything on his own to address his problem of feeling like this?All you state is that he blames you for creating a situation he didn't like.If he did nothing because he felt unsure what to do, anything which shows he understands he has as vital a part in the marriage as you, is ok.Because affairs create mistrust between two people, the two of you would also need to be very aware to regain each other's trust.Talking as much as possible so you both know what goes on in the life of the other, how you each are feeling, what matters to you, is helpful to grow a new foundation for your marriage's future."
161,338,"I was never like this. Recently this year (my first year of high school), I started getting emotional for no reason.",Anxiety Disorders,Behavioral Change,"Hello Vancouver, It's really common for people to become very upset over small things sometimes. The small thing is a ""trigger"", and the emotions aren't so much about that event that's happening in the present; they are more connected to old events that evoked the same feeling. You've likely had too much of that feeling in your life and you've developed a sensitivity to it. Look at the small events that are triggers for you and ask yourself what same or similar emotion they evoke. If there's anger there, look underneath that. Is it powerlessness, worthlessness, hurt, shame...?  Then ask yourself when in your life you've experienced TOO much of that feeling. As a child, maybe, but not necessarily. That's the first step, and combined with empathy, compassion and self-esteem, you're starting to build what I call an emotional air conditioner. A good therapist can help you with the rest of this process and with learning ways of coping with emotions daily. I wish you the best."
162,339,"I have a really bad temper. I get mad very easily then stay like that the whole day. I don't mean to be that way, but I can't help it.",Anxiety Disorders,Anger Management,"A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.   A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it.If at the time of feeling let down by someone important in your life, the relationship didn't allow for honest expression of all your emotions, you'd have learned to hold in what you realized would not be tolerated if you expressed it clearly.Without practice of being heard when feeling hurt by someone, eventually the person, possibly you, learned to contain and contain your emotions.It is possible that the anger you feel at a variety of situations lately, are muting hurt feelings that you've understood from relating to meaningful people in your personal history, to not talk about.As a way to find out if you feel other emotions in addition to anger, take some time to reflect on what triggered your anger and whether its possible that hurt emotions which nobody whom you know wants to hear,  are really the underlying source of your upset.I hope you will enjoy some new discoveries about yourself and your emotions!"
163,352,I've recently thought that i could be transgender but I've never had the mind of a girl.,Anxiety Disorders,LGBTQ,"Hello Frostproof,Thinking about becoming transgender and being transgender are slightly different.  This is a topic that is best discussed with a therapist that specializes in LGBTQ issues.  From what you have written it sounds as if you still have some confusion as to where you fit in with the ""labeling system"".  While labels provide a means to quickly identify and classify, they can also feel restrictive or confining.  Instead of focusing on fitting into a specific classification, explore who you are as a person and celebrate your positive qualities and those things that make you uniquely you!  There are many options for you to find a therapist and e-therapy is also an option.  You can try Breakthrough an online service.   Here is some reading for refection that you may find helpful.  Yin Yang Woman Man http://dld.bz/ejVK2  What does it mean to be a woman or a man?"
164,358,"I am broke, but I am sure I have been depressed for the past couple of years. I have always had anxiety. I just need someone to talk to right now. I don't have any friends or family I can talk to. I'm on the verge of just giving up.",Anxiety Disorders,"Depression,Anxiety",Good question. There are resources out there - people to talk to. I'd try going to this link and calling the free 24/7 hotline: http://www.suicidepreventionlifeline.org/
165,367,"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.",Mood Disorders,"Addiction,Substance Abuse","This relationship with your step dad sounds very challenging. It is hard to to be told over and over again how not good enough we are. Let me offer you this, frequently when we say harsh, mean, nasty things to others, we are simply projecting our own thoughts about ourself. I am not advocating that this is ok, it seems like your stepdad could also use some support. You get to make your own empowered choice around this, this is your life and if you find yourself in a situation that does not suit you make a change."
166,369,My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.,Mood Disorders,"Relationships,Trauma","Probably the more important questions to answer concern how much confidence you have in you and your boyfriend becoming parents, how you each feel about the influence of his being banned from seeing his current children, and be clear about the circumstances that led up to the decision of him not being permitted to see his kids.Don't allow some random professional to pronounce your boyfriend as cured.  A relatively qualified therapist would never make this call.Psychological and emotional tensions emerge from our relationships within families.  You and your boyfriend are in a position to set a strong foundation for having children, assuming each of you wants children.Childhood issues, your boyfriend's, anyone's, are more likely to go away when new patterns of interacting emerge.If the two of you are engaged in setting a secure relationship as future parents, the disappointments and hurt from the very early years, will be replaced by better ways of interacting."
167,370,I have severe anxiety and have tried everything. Everything makes it worst.The only thing that helps is my emotional support animal.,Anxiety Disorders,Anxiety,"Sorry to read of your suffering.Is it actually permitted that people are able to take support animals to school?I see your point of the animal helping you.  I just also see the point that some people have allergies to animal hair or dander, or may feel distracted by an animal in the classroom.You may end up feeling worse, if when you bring your support animal to school, that it disturbs people or interferes with the routines of the class.For your anxiety, I suggest some loving kindness toward yourself.  Be patient with yourself and that you have anxiety.  If you're able to accept that some situations create great discomfort for you, maybe you'll tolerate these difficult situation.Embrace your anxiety as part of you, basically, rather than trying to banish it, which because it actually is part of you, is impossible to achieve.In a way, I'm suggesting you become your own ""support animal"".  Love yourself, be kind to yourself, and see if you feel a little less stressed in school."
168,376,"My suppose-to-be father told me to go find my real dad. We haven't been getting along since I was a teenager. If I said one thing that he thought was wrong, I always got degraded. He never said “I love you.” He never gave us hugs. He’s always called me horrible names. I feel he's an evil man with no feelings.",Mood Disorders,"Family Conflict,Trauma","Hi Louisiana, You got it right...he's ""supposed to be"" your father. It's tough enough being adopted (unless I'm reading it wrong, I think you're adopted); what you don't need is to be verbally abused by someone who's supposed to love and protect you. I don't know how old you are (past teen years though), or where your mom is, but I bet there are other people in your life who treat you differently. It's your right to spend your time with the people who love you properly. That's a really important part of learning how to be happy...carefully choosing who's going to be in your life. It's tricky to put emotional distance between you and your supposed-to-be father, but it's possible...physical distance (avoid him if you don't trust you'll be treated with respect), and emotional distance (feeling less connected to and affected by his relationship disability). I think you're already doing that part because you don't blame yourself for his words, which is wonderful. I don't know if he's evil (although I believe evil exists), but he may be incapable of loving properly, or lacking empathy, as you suggest. A good therapist can support you in these goals. I wish you the best in your growth as an independent adult. :)"
169,377,"I keep being mean to my best friend, and I don't know why all the time. I did come to maybe some kind of conclusion that it is because my mother is mean to me all the time. Could that be a cause?",Anxiety Disorders,"Family Conflict,Social Relationships","Hi Morristown,There's a saying that goes ""hurt people hurt people"". It's possible that your aggression towards your friends is connected to your mother's behaviours. When we are treated poorly, especially as children, it affects how we ourselves, others, and the world. It's also powerful modelling of aggressive behaviour. The good news is that you have this lovely awareness and I think a desire to learn about yourself and grow in your ability to be respectful to people you care about. I recommend you consider sitting down with a therapist and exploring these ideas and moving forward on that path you seem to want to be on. Good luck!"
170,378,"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.",Mood Disorders,"Anger Management,Depression,Relationships","Hi Campbell River, You say you have anger but you don't mention how it shows. Or maybe it doesn't. Are you aggressive with your girlfriend? Since you mention depression, I wonder if you're bottling it all up somewhere instead of letting it show at all. If this is the case, I admire your ability to not lash out at someone who's hurting you. However, if they are totally  unexpressed, anger turn inward and shift into depression. When she yells at you, what do you do? Is this the moment that you feel the most angry? I wouldn't be surprised; anger is a normal response to someone yelling at you. Something about anger...it's often there to cover up our more vulnerable emotions. Under the anger I wonder if you feel worthless, powerless, scared, unloved. Part of the trick to reducing anger is identifying those other emotions and expressing them. You say you don't know how to deal with life, and I think maybe you mean you don't know how to deal with emotions. Lots of people don't! This is confusing for most of us. What am I feeling? Why is it so strong? I'm afraid to express it for fear of hurting someone (or falling apart, or feeling alone...). How do I know what to express and what to be quiet about? These are all great questions to ask yourself, and a qualified therapist can help you sort it all out and support you in your growth. I wish you well!"
