,question_text,topics,answer_text,q_token_count,a_token_count,tf_type,tf_type_zero_shot,tf_score
2682,"i regret ever hurting her and they mean the world to me but it feels like nothing i do seem to work
ill always love them no matter what and when im with them nothing else matters i love them more then anything i dont want another guy raising my kids",parentingrelationships,how you you expressed your regret and taken responsibility for the pain thus far repair is a very essential skill in and part of developing healthy relationships your love sounds deep sit with that also sit with how shes been hurt you get to feel your hurt too and your kids in feeling all this you may also find our way to the repair if feeling all this is tough to take on seek out a local therapist to support your process,1,1,T,F,0.970528781414032
1892,ive only been married three months every week we argue about something and it seems to be getting worse,marriage,one key factor to consider is are you able to repair after your arguments it seems from your question that repair is lacking after any disagreement or argument when couples are able to repair after an argument they have an opportunity to learn more about each others needs moving forward im also curious if youre having the same type of arguments over and over if youre stuck in a particular pattern and can start recognizing what happens between you when this pattern happens then you can start to name it once you name it then you can take a break to cool off and come back to each after your nervous system has had a chance to calm down about  minutes the key here though is to make sure you have a plan in place  when things are good between you  an agreement between you that when you both start to get escalated youll name it or have an agreed upon code word to signal you dont want to continue this cycle and then agree to cool off and come back together at a later time that way when this is enacted during an argument nobody feels abandoned during the cool off time rather both partners know they will return at a time when they can truly hear each other and hear their needs,1,1,T,F,0.6650505661964417
1349,he is verbally abusive when he gets mad he just yells at me at times i feel scared,domesticviolence,im sorry you are experiencing this and im glad that you are looking for help and support im not sure of all the details so take from answer what you can if you are feeling unsafe or scared in your relationship please know that there are non profit domestic violence services that can help and provide you some more support they can also safely plan with you if you choose to leave it seems that you might be feeling defeated and if thats the case a lot of domestic violence non profits provide free counseling if you are needing to talk to someone what you are going through can be overwhelming and your are taking the right steps toward healing,1,1,T,F,0.6492483019828796
1622,ive been getting told lately by my partner that its embarrassing that im so antisocial around his family and friends i believe its because im not as social as him,intimacy,hi buffalo i think youre right your partners reactions are about him i have to say its a cruel thing to say to someone you lovethat youre embarrassed by them the subtext says youre not good enough and i love that you can reject that false messageyou dont have to be different for anyone if he cant accept you for who you are what is he doing with you your social habits unless they are extremelike you refuse to go anywhere arent a reflection on him its just you being you also and im sure youve found thisthe more he judges you the more difficult it is for you to be the confident outgoing person he wants you to beso his method of trying to change you doesnt even worki think thats the cruxhes trying to change you what does that make you want to do,1,1,T,F,0.6570361852645874
3715,"i dont remember when the voices in my head started but i remember hearing them when i was little 

i know its not normal to hear voices that arent your own i fight the voices and i want them to stop  theyve been here so long and i want them gone how can i make the voices stop",anxiety,this isnt something you can do on your own if you havent already you need to see a medical doctor asap to rule out medical causes for this many diseases illnesses and conditions can cause hallucinations in the elderly sometimes its something as simple as a urinary tract infection some medicines may have that side effect as wellhowever you say youve been hearing them since you were little i have no idea how old you are now but something that has been going on for many years does lead me to think it could be a type of schizophrenia a psychiatrist could diagnose that after taking a complete look at your history medical history etc there are medications that they can put you on that will help one thing that i find encouraging is that you recognize youre hearing voices this means you are not so far into a delusion as to believe it is real a lot of people that hear or see things that arent there are not able to have the awareness that these things are not real they fully believe what theyre hearingseeing its completely real to them because you have the awareness that you do i feel this is a very good sign that with treatment you can live a normal life assuming you are not already receiving treatment for it if you are and are still hearing the voices please know that medications often need to be changed and adjusted and the voices may never completely go away but medicines certainly help dull them a lot always talk to your doctor when it seems your symptoms are getting worse so that they can make the necessary medication adjustments for youif at any time the voices are telling you to do something please go to an er as this is an emergency sometimes people hear voices telling them to harm themselves harm someone else or do other things that are against the law do not try to deal with something like that on your own there are people who can help,1,1,T,T,0.5838544964790344
1795,my mother has alzheimers and i can see that she has lost some of her intellectual abilities even though i know this disease is not her fault im still finding it difficult to separate my own feelings of disappointment and frustration when my mom seems to ignore my opinions and wishes and seems,familyconflict,good observation on your part to distinguish that your feelings in relation to your mom are not necessarily connected to the way she handles her part of the relation toward youhas your mom usually ignored your opinions and wishes in relating to youif prior to the onset of alzheimers she never examined her way of relating to you and if both of you have never had an open conversation about your sense of feeling hurt by her attitudes and manner with you then the relationship between you and your mom will change in ways other than rational dialogueshe may continue ignoring or overlooking your wishes because shes been stuck in this attitude for most of your lifethe good news for you about this is realizing that who you are and your way of relating to your mom has very little to do with the way she relates to youthis is a more profound disappointment because it shows that her disconnect from you has been for longer than when the alzheimers beganyou can however feel a little more free knowing that youre not deserving of being ignored,1,1,T,F,0.6628140807151794
732,why am i so afraid of it i dont understand,anxiety,your fear is somewhat reasonable  no one wants to be raped and i imagine everyone is afraid of what being raped would feel likedo you mean that this fear is on your mind more often than you would likeif this is the case then try understanding the reason behind your fearis it because you personally know or know of someone who was raped  one general direction of what would help is to regain confidence in your decisions of keeping yourself safe  the more you trust yourself to avoid social situations with lots of drinking isolated physical surroundings and being in isolated locations with someone with whom youre not very familiar probably your fear will decreasethe other general direction to understand is if in your family history people have been violated severely either emotionally mentally or physicallyin families in which people have suffered severe violations of themselves often the emotional patterning of expecting to be hurt by others plants itself very deeply and transmits to the younger generationits possible then that you are suffering from fears established in other family members who have not yet been able to fully understand and accept their own sufferingthe good news is that individual therapy with a credentialed and licensed therapist is ideal for a safe place to open and clear this type of emotional burden,1,1,T,T,0.5477322340011597
1610,as i was growing up my mother and father always fought with that i grew trust issues i think its going to affect my relationship now and end it sooner then i want to i try not to let it affect me but i cant,intimacy,if you thing your trust issues are going to end or affect your relationship it will because you are being baggage from your parents into this relationship  dont allow their problems to become your problem  you didnt mention that your partner in your present relationship have done anything to make you not trust them  like in the court of law if no evidencefind not guilty  dont make them pay the consequences as if guilty of your parents unhealthy behavior,1,1,T,T,0.7905321717262268
3731,"i know i need to deal with my depression but i dont know how and i dont want to tell anyone 

how can i deal with depression without telling anyone",depression,helloit is completely understandable that you would not want people to know about your depression i would first like commend you for realizing that you need to help with your depression by reaching out here that is a great start and youve taken the very first courageous step depression can feel debilitating and overwhelming depression is also a very personal thing and no one has know but you and the therapist the best way to begin learningand dealing is to pick up the phone and call a therapist or email a therapist and schedule a session the great news is that with professional help you can feel better and you will learn how deal with and manage the depression there are many ways to help with depression that a therapist can teach you and help guide you do not have do this alone asking for help and going to therapy is a strength this can be done in a private and confidential settingdepression should be treated by a therapist in a safe confidential office setting the therapist can then discuss your depression with you in more detail to figure out the underlying cause how long youve been feeling this way and identify what brings on these feelings there is hope and depression can be treated with great success you can feel good again depression can be managed appropriately by seeing a licensed therapist often times therapy will offer relief because you would have someone there simply to listen to you validate your feelings and listen to your story the therapist will be able to offer professional insight and perspective on the situation and help you think outside the box the therapist can do many things with you provide insight and offer many ideas to help you learn new coping skills and ideas of things you enjoy encouraging you to re engage in hobbies you once enjoyed or even discover new things you may enjoy there are creative ways to learn to cope tooyour therapist will also be there to support you without judgement at your pace through the entire process but the first step is finding a therapist and beginning to identify the cause your depression healing is possible and getting your happiness back is also possiblefeel free contact me for additional help or informationlaura cassity lmsw lmac,1,1,T,F,0.7204551696777344
1057,ive been with the mother of my child for years,selfesteem,i would think that you hold little self worth and feel that you are not worthy of better  i would suggest that you get to know yourself   what do you need in a relationship  what is holding you to this relationship other than your child  what have gone on in the relationship that makes you think or feel you deserve such disrespect  just a few questions to ask yourself,1,1,T,F,0.5811740756034851
1385,were in an eight year relationship my boyfriend drinks a lot he experienced childhood trauma i dont know how to deal with violent outbursts,angermanagement,you shouldnt need to educate yourself on violent outbursts  he is the one in the position to change his violent outbursts   they are his behavior not yours  all youre trying to do is have a relationship with this guythe one task to do is during a quiet time to tell your boyfriend the way you feel about his outburstshis answer whether he denies having a problem blames you for his problem tells you the problem isnt so bad why are you complaining tells you a lot about his willingness to changewhether or not he considers himself to have a problem and wants to change himself is very good for you to knowthis tells you what to expect from him in future   you can reflect and plan ahead for your own life depending on your tolerance and willingness to live with what he answers you,1,1,T,F,0.8089191913604736
2240,how does a counselor decide when to end counseling sessions or to terminate working with a client,professionalethics,there are typically three reasons why therapy is terminated client has met therapy goals client is not progressing  therapist is not a good fit for clientin order to properly assess whether therapy is helping and what progress is being made the therapist needs to have ways of consistently checking in with clients sessionsbysession to determine what is helping what isnt and where the client is at in relation to their original therapy goals when a client has met their goals that is a good time to end counselling sessions unless the client has new goals or simply wants to checkin periodically to make sure that they are still on track sometimes referred to as relapse prevention when a client is not progressing and feedback has been taken and attempts have been made to make the therapy more helpful for the client but to no avail than it is considered unethical to continue to work with the client in these circumstances referring out to another therapist who may be a better fit is a good idea,1,1,T,T,0.6054645776748657
291,i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,depression,talking with parents can be very challenging even if they are loving and understanding  have you ever discussed these issues in the past  if so how did they respond  itd make sense if you were avoiding a discussion if they have responded negatively to you or even neutrally  we rely on our parents for action when we are in need and it can feel so disappointing when they dont meet our needs  if this is the case for you you could still reach out to them if you feel safe to  that might mean being very candid about what you need from them or what you are seeking for yourself  sounds like you already know you are struggling and you want to get some help which is awesomedo you worry they wont believe you or that theyll be disappointed in you for selfharming  if you are struggling with these worries it may be worth talking to another trusted adult about how to bring the issues up to your parents  maybe that adult could be part of the conversation if appropriate or available  also do you have any siblings that are old enough to be part of the conversation  or maybe be a shoulder to lean on  no matter what happens social support is really important so you dont have to go through it all aloneis it possible that your parents or even one of your parents will be proud of you for speaking up for yourself and trying to get help  sometimes depression and anxiety immobilizes us because we fear the worst when in reality there are many more possibilities  one of the things i have my teen clients work on if they want to communicate something to a caregiver is have them come up with a bulletpoint list of the things they need them to know  so maybe your list would include symptoms youve been struggling with how you want to change and what you need from them to help you change  if you do this and it doesnt turn out well remember that its on them and not you  sometimes parents are doing the best they can and sometimes its not good enough  that never means you arent worth helping it could be helpful to make a backup plan for how you will try to reach out to someone if they dont respond wellyou also dont specify your age or if you are even a teen  im assuming you are but if not you may be able to get help without their consent or help  if you are closer to age  you may not have long to wait  i truly hope you find what you need,1,1,T,F,0.6487308740615845
2112,i havent uttered one word to my boyfriend in days now im over it and dont know how to approach the situation,relationships,in any relationship it is important to be able to say im sorry because it shows vulnerability and openness i recommend that you sit and have a discussion with him now that you are calm about why you were upset and how you would like to handle such incidents in the future if you find yourself becoming upset again i encourage you to take a  minute break and then come back to the conversation once you are no longer heated studies show that talking or discussing arguments are more effective once you have cooled down and you are more likely to hearunderstand what your partner is trying to convey,1,1,T,F,0.9478079080581665
2121,after  years of being straight how could i now find myself interested in people of the same sex i have had a few same sex encounters of my own doing,lgbtq,i frequently work with individuals who develop samesex attraction later in life humans have a tendency to think of things in absolutes black or white good or bad gay or straight in fact much of life is lived in the grey that lies in between the extremes this is especially true of sexual orientation which is fluid and occurs along a spectrum as someone ages and grows their sexual interests may change i would encourage you to speak to a therapist who specializes in working with lgbtq individuals they will have the experience necessary to help you navigate these issues,1,1,T,T,0.5087941288948059
1977,"i have a friend that who i used to be in a relationship with it was brief and turned into us being just good friends
   i spent the weekend with him and it upset my boyfriend was i wrong",relationships, they say three can be a crowd  first ask yourself how you felt when you were with this friend that weekend  did i feel uncomfortable and was i thinking of my boyfriend the whole time  did i communicate with my boyfriend that weekend while with my friend  think about why he maybe reacted to you in this matter and it was a good start on his part to be authentic about his feelings  so what are yours ,1,1,T,T,0.5485918521881104
1965,over a year ago i had a female friend she turned out to be kind of crazy so i decided to stop talking to her when she would call me i wouldnt answer the phone this made my girlfriend really suspicious she would ask me why i wouldnt ever answer that phone number i told my girlfriend that i dont want to be friends with that other woman but i dont think she believes me how can i get my girlfriend to understand,relationships,we women really do tend to struggle with the comparison game and hollywood culture hasnt helped with romantic comedies and song lyrics telling us that when a man appears evasive theres something to worry about its been my clinical experience though that most women value transparency and security in their relationships so you might try sharing a little bit more about your history with this woman for examplewhere did you meet herhow long were you friends before you decided to call it quits why dont you want to be friends with her ie what do you mean by kind of crazy i promise this tends to matter to womenwere you ever intimately involved with or even attracted to herif your girlfriend can truly see that you view her as the filet mignon to the other womans hamburger and that she is your favorite person on the planet and has nothing to worry about she may start to come aroundnow if shes more concerned that you might be taking this womans calls behind your back while im not typically a huge fan of sharing passwords or phone records you might print them off and highlight this females number and show your girlfriend that you absolutely are telling the truthand if you really want to step it up i would be intentional about doing all the little things that you know your girlfriend loves that helped make her fall in love with you in the first place eg little love notes for her to find or sweet text messages buy a rose or her favorite flower have her car detailed do the laundrydate nightsyou get the idea  bottom line  show your girlfriend why out of all the women on the planet that you could be with you chose her  and would continue to do so all over again  and why you love her as a person  this will help her trust what youre saying best of luck to you  tamara powell lmhc,1,1,T,F,0.7985793352127075
2700,when i ask him who he is talking to he tells me no one but it sounds like he is holding a conversation with someone i have even accused him of having a secret cell phone i ask so much i feel like i am losing it  is he trying to make me question my sanity or is he talking to himself,relationships,a rare topic  likely extremely troublesome for you i would need to have more background information on the two of you before beginning to offer any insight feel free to email mei would also like to add that aside from the reality of whether or not these conversations are actually occurring as your partner he should be just as concerned about something that is disturbing you to this level  partners need each others trust and support no matter who is right or wrong,1,1,T,F,0.5852707028388977
363,people who are parental figures in my life have in the past hurt me and some continue to do so it makes me feel like im not good enough for my husband or the life he provides me i have had jobs but i am going through a lot of my past garbage and trying to figure out when it all went wrong any time i bring these things up i am expected to be over the issue these are people that you cant just cut out but i have never received apologies for so much of my pain i dont know what to do any more i dont know who i am anymore,depression,it sounds like you have been thinking about how past hurts have influenced you and when you try to talk about these hurts with people in your life you are feeling invalidated it also sounds like current conflicts are continuing to leave you feeling hurt and devalued in working with a therapist you may be able to get some clarity about your past who you are and what kinds of boundaries you want in your relationships so that you can lead a life that is more satisfying to you,1,1,T,F,0.6645144820213318
2053,he isnt violent but he has anger issues and deep insecurities hes working on them and has improved we started counseling and he participated in one or two individual sessions but we broke up again shortly thereafter now his constant questions and accusations are getting really draining,relationships,from what you write youre not too happy with how your boyfriend treats you and how he handles his own lifewhat keeps you feeling connected to him in positive waysif youre truly not happy most of the time in this relationship then youre at the time of asking why youd want to remain in a relationship which is draining,1,1,T,T,0.6436202526092529
365,i am going through a very hard time and im so depressed my parents are getting a divorce and a lot of bad things are happening i want to lull myself,depression,it sounds like a tough time and its normal to feel down when your family is going through a divorce or other hardship theres a difference between feelings like sadness discouragement grief loneliness and depression though sadness is sadness and sometimes we have to go through a grieving or other process that is a normal reaction to events in our lives depression on the other hand is more about being stuck lulling yourself with selfcare sounds like a healthy response and a way to give yourself support so as to the uncomfortable but healthy part of your feelings do the best you can to put names to it and share with a trusted other person you will find comfort the part of your situation thats depression  feeling stuck not able to get out of bad concentrate changes in sleeping and eating loss of enjoyment in living poor hygiene feelings of hopelessness thats different first step identify your own symptoms of depression if you have any thoughts of hurting yourself tell someone if youre not sure you can try lifenet or other support line to get feedback first aid for depression includes daily care and feeding good sleeping and eating lots of exerciseeven when you dont feel like it healthy socializing and focusing on talking to yourself in a positive way if you arent able to move yourself out of your depression  work with a professional to make shortterm goals and get some support you may also talk to your doctor or psychiatrist about trying an antidepressant to give you a little lift while you go through a rough patchbest wisheskaren,1,1,T,F,0.9428220391273499
945,my step nephew a preteen has begun masturbating i also had to take away the internet because he was caught looking up porn im worried about him,parenting,your nephews behavior sounds normal and developmentally appropriate  masturbation is a healthy expression of sexuality  most families to create some rules about where its ok to masturbate for example stating that it should be done in the privacy of the childs own room  im wondering if you or another adult in his life have talked to him about his developing sexuality  it seems like that would help him and you handle his increasing maturity,1,1,T,T,0.8280546069145203
751,i get so much anxiety and i dont know why i feel like i cant do anything by myself because im scared of the outcomes,anxiety,this is a very common question in my practice panic attacks typically emerge from an underlying issue ex depression low selfesteem fears to decrease your anxiety symptoms its recommended to seek treatment with a therapist who specializes in working with anxiety disorders and most importantly one with whom you feel comfortable within my practice i educate clients about their anxiety and discuss building a framework with helpful tools for decreasing anxiety starting a daily mindfulness practice for example listening to guided meditation engaging in deep breathing exercises yoga practice or other positive calming activities understand your negative and positive thoughts many times we tend to focus on the potential for bad things to happen increase positive selftalk when feeling down or when anxious for example i dont need to worry i am calm and relaxed  exposure to fearful or anxious situations this can be accomplished under the care of a mental health professional many times we shy away from things that make us feel uncomfortable or insecure this may led to an increase in isolating behaviors resulting in difficulty in performing things we were once able to do for example leaving the house presenting in front of others going to social events and having conversations with people however the more we expose ourselves and practice the use of our positive coping skills ex deep breathing the chances of anxiety will decrease i hope this was helpful keep in mind a therapist can help with guiding you through self relaxation and improvement,1,1,T,F,0.8087929487228394
1823,she has chronic inflammatory demyelinating polyneuropathy and im her caregiver all she does is complain hit me call me names and say things happened that didnt when i tell her she explodes i didnt always hate her but now every little thing she does irritates me and i dont have the means to live on my own,familyconflict,it sounds like you are hating some of the things that your mom does rather than hating hersomething you may be able to do is call the area agency on aging for the county where you live and ask for information about having other people help to care for your mom i dont know how old your mom is but if she is younger they would probably have resources to other ways that you could have help if you are both open to the possibility of someone else helping out this may help with some of the difficulties between you if you are not spending quite as much time together do you think your mom is able to actually recognize how what she does and says affects youfrom whom do you have support during all of this,1,1,T,F,0.6026705503463745
1161,my husband and i got into a huge dispute he said he wanted a divorce and i left i still come home a lot and see my kids and he has not filed yet even though he still said he is what does that mean for our marriage,relationshipdissolution,in any relationship including marriage each partner will be better able to do their part by understanding their own interests and wishesconcentrate more on what youd like from your marriage  this will naturally raise the questions and criteria of what to talk with your husband about and what to ask of himthink over whether you wish to divorce or notsince he hasnt taken any action then for the moment you can assume he is not sure of what he wantsonce you feel a little more clear on your opinion about your marriage including feeling uncertain if youd like it to end or continue then you will be able to tell your husband the suggestions you have for resolving the dispute matter and emotionstry to redirect your speculations about what does he want i wonder what hes thinking back to answering these very reasonable questions about yourselfthis will strengthen your own purpose in clarifying where to start and guide a discussion with himgood luck,1,1,T,T,0.5262665152549744
1922,weve been in a long distance relationship for two and a half years i recently saw his phone and saw the people he texts the most and one of them was a female coworker i dont know how to approach this situation how do i ask him about it,relationships,i agree with sherry that in a close intimate relationship you are entitled to ask questions about his relationship with significant others these questions help couples to build connection and trust its based on the idea that if you reach out to him for whatever reason support openess understanding empathy you can count on him and can expect him to be responsive how he responds to your question will give you an idea whether he helps you to feel more emotionally secure and builds trust or if you feel that you cannot be open with him if your partner responds in an open and understanding manner it usually indicates that he cares about your feelings and values your importance if he responds in a defensive manner it could mean that he does not like that you are questioning your trust in him or that he has something to hide either way you may wish to explain that building trust is something that is very important to you in a relationship and that talking to him openly helps to foster that if he continues to be defensive or evasive then there might be some bigger issues at stake and the two of you may benefit from couples counselling or having a discussion about the values that are important to you in the relationship and how the two of you will go about supporting those values with actionsdr virginia chowwwwpsychologyresourceca,1,1,T,F,0.8664738535881042
2214,its been like a couple of years that ive been feeling like this i dont want to selfdiagnose but i get so sad and cry and then i feel better but then i get upset with people so quickly and i hurt their feelings its this constant rollercoaster and its hard,behavioralchange,hello and thank you for your question bipolar disorder is generally characterized by extreme changes in mood ranging from mania highs to depression lows there are different types however so here is a website that gives you a list of symptoms for mania and depression in bipolar disorder httpwwwwebmdcomdepressionguidebipolardisordermanicdepressionpageafter reviewing these symptoms if you believe you may have bipolar disorder then you may want to see your primary care provider or a counselor bipolar disorder is treatable but for many people it requires the right medication and sometimes counseling to help people make behavior changes that are important for bipolar management for example some people may not get regular sleep but proper rest is important for bipolar management a counselor may talk to you about this and other lifestyle changes that you may need to make the good news is that many people live happy healthy and productive lives with bipolar disorder so if it turns out that you do have bipolar disorder it doesnt mean that things cant get better there is currently no cure for bipolar disorder but with proper medication and lifestyle management people can do quite wellhope this was helpful be wellrobin j landwehr dbh lpc ncc,1,1,T,T,0.510717511177063
1554,my husband cheated while i was pregnant with our son with a socalled friend this was before we were married we split and eventually worked things out i thought i trusted him so we got married now he flirts with girls in front of me ive talked to him but nothing helps,intimacy,this sounds very painful for youare you able to tell him how his flirting affects youmaybe he doesnt care enough to change and maybe he doeslong term if he continues this then usually people feel they have two choices put up with it which of course greatly reduces the sense of satisfaction in the relationship   or of course you can decide to end the relationship  this choice is quite significant now that you have a child together  give yourself plenty of time to think over the best outcome,1,1,T,F,0.5319122076034546
2272,im worried i should see a therapist due to past events and current mental status im just so unsure of how to ask my doctor about seeing someone,professionalethics,having this kind of conversation with a doctor can feel difficult but remember you are the expert on you any good medical professional will recognize thatyou are absolutely right to think about the importance of being your own health care advocate generally the best approach is simply to be honest let your doctor know what you are concerned about and tell your doctor what you think might help if there is a specific issue that youd like to address in counseling let you doctor know about it and dont hesitate to directly ask for a referrali know this may all feel a little overwhelming it might help to bring a family member or significantother with you to provide support when you talk to your doctor its great that youve already taken this first step to reach out youre on the right track,1,1,T,F,0.7346442341804504
1163,in  my former husband of  years walked away from my life and weve been separated ever since we have always been together sexually and both have experienced sleeping with others i stopped because i wanted my marriage to work out but he did not if he stops sleeping with other women can our marriage be saved or should we just part ways i still care deeply about him after all that i did and he has done but he is seeing someone else on and off for years now will our marriage still be saved if he decides that he wants to try to do so,relationshipdissolution,sorry to hear about the stress in your relationship  there is definite value in being clear as you are about your own emotional investment in your husband and that you expect sexual exclusivity from him as part of the foundation of your marriagealso positive is your awareness that only your husband is the one who must similarly decide his own standards of being sexually exclusive to you or notwhether your marriage can be saved depends on what each person is willing to accept about the other oneis sleeping with other women the only criterion of what will satisfy you about being together with your husbandlove and care are not enough to make a marriage work partners need to be able to compromise and cooperate with each other that you care for him definitely intensifies any emotion you feel toward your husband  it intensifies any frustration and sadness about the relationship toodecide how much emotional sadness and hurt youre willing to tolerate and the reason youre willing to do sofrom what you write you are being very generous of yourself and not being reciprocated for thisif your husband doesnt start taking steps toward satisfying your wishes this may be your time to question your own generosity in waiting for him to do so,1,1,T,F,0.902595043182373
755,i started dating my fiancé two years ago my first cousin is married to my fiancés sister there has always been a communication issue between my uncle and aunt and my cousin and his wife my uncle goes to my mom instead of talking to my cousin and it upsets my mom,anxiety,based on the information provided this is an issue with boundaries   sounds like your uncle goes to your mom and possibly your mother takes the issues to you  i do not like to assume so i will direct you to information regarding families dealing with enmeshment and triangulation  enmeshment is the concept of diffused boundaries in families and other personal relationships  triangulation is two individuals relaying information to a third party what cannot be said directly to each other  from someone who has dealt with both these issues on a personal level being informed about family dynamics is beneficial and can help you develop healthy boundaries for yourself within your family structure  you may need assistance with developing healthy boundaries  although it is possible it is not easy to change the way you have been operating for any extended amount of time  hope this help,1,1,T,F,0.5167747139930725
1973,"ive been with my partner for  years shes given me no reason not to trust her but lately ive been overreacting a lot when shes just doing normal things i think its triggering my bad past relationships
   how can i get rid of these insecurities and be more trusting with her",relationships,whats most important is that you recognize that what youve been doing is off base  that what youve been feeling is overreacting that you have insecurities and you suspect your actions and reactions are connected to your own past and not to the current situation or to your partner thats an excellent first step because without recognizing these things about yourself its unlikely that you would changethat said you sound as if you are really ready to start some therapy to work on your own personal growth not because there is something wrong with you but because youre ready to learn more about yourself and make some creative changes in your behavior yes there are lots of selfhelp books and courses but we humans often make the most progress when we have support in  realtime from another human being who can sit with us point out our blind spots and teach us some skills that are hard to learn on our own,1,1,T,F,0.7530823945999146
2065,i was in a relationship with him for three years my mom doesnt like it because she thinks im making a mistake he got married a few months after we broke up and now he is divorced i forgave him for what he did in the past and he says hes sorry and he really loves me i love him too but is it bad that im giving him a second chance again,relationships,hey it might be mistake in the end but this is a risk you want to take and you get to make your own mistakes your mom wants to protect you i get that maybe she is worried youll be hurt again were you hurt in some way by him can you understand where shes coming from sometimes when were mad at our partner and we complain about them to mom its hard to know how to repair moms relationship with the partner when things are better and we reunite can you help your mom understand that you take responsibility for your part in how it went wrong that the picture you may have painted of him isnt the total picture she might need help there thank your mom for her love and care and you can also let her know clearly that you and your boyfriend are the only ones who get to decide whether youre together or not that its a risk you are going to take and that you really need her support ,1,1,T,F,0.8031405210494995
3389,a year ago the love of my life left me and never looked back our son was two months old at the time and it broke my heart i miss her so much and cant seem to get over  being so heartbroken,relationship dissolution ,i recognize that you say you are missing being with the love of your life at the same time i dont understand whether you are able to see your son im curious as to the relationship dynamic between you and your sons motherwhen you say that she never looked back i imagine you are conveying that getting back together is not something that she is interested ini would suggest that you talk with a therapist and your local area so that you have the ability to discuss the loss of this person who you love so much most people think of grief related to the loss of someone who has died but it also applies to people who have a significant loss whether that is a relationship a job or any number of other thingsin the meantime try finding something about yourself that you value and can focus on,1,1,T,F,0.9040830731391907
2110,hes been losing feelings and he doesnt know why i love him very very much he sometimes thinks im obsessed when im not at all i give him his space and i make sure hes okay but sometimes i think if me and him saw each other more it would be better i truly want me and him to get better its kind of hard not to stress about it because the love of my life is losing feelings which is a sad feeling hes a great guy i just dont know why hes been losing feelings towards me hes starting to put less effort in talking to me at this point ill do anything to just make us better as a couple i tried talking to him but he doesnt like talking about it much advice on what to do,relationships,im willing to bet that this isnt what you are hoping to hear but id suggest giving him space ooph thats a tough one right i know but heres the thing when you keep trying to process and talk it out with him you keep pushing him away he needs to feel like a solid and whole person as you do too to be able to be fully in your relationship its the work of being in relationship to learn this i get that this is tough stuff i wonder outside of being with him how do you soothe and calm yourself thats the stuff for you to tune into and focus on right now,1,1,T,F,0.8938977122306824
413,i was anxious to go to middle school i was afraid of what people might say about me so when school started i wasnt acting like myself i was quiet which im usually not i didnt talk to anybody and didnt have any friends then a few years later my grandma died i really became depressed and stop going to school for a little i hated myself and still do i just need help i need someone to care for me i need someone to show that they care,depression,i agree you need more care and support no one deserves to feel alone or like they hate themselves were all wonderful imperfect complicated people and were at our best when were all helping each other im glad you wrote this question because a lot of people have this feeling sometimes i can tell that youre smart because you seem to sense that the two things you wrote about are connectedyou not being yourself and then how you felt when your grandma died when grandma died you needed and deserved extra love and support but the people around you didnt seem to give it to you maybe my hunch is that they wanted to but that they didnt know how much you needed it or what you needed exactly the older you get the more you will have to take charge of letting people know what you need maybe this is one of the suckier parts of being mature but thats how it works when you started middle school it sounds like you changed you got more quiet right that must have felt weird to not be acting like yourself it sounds like fear tricked you into thinking people wouldnt like you fear can be silly so then fear got you to not show yourself and when we dont show ourselves people cant see who we are they dont know us as well and then they dont know what we need and they cant care for us as well either fear of not being liked isolated you from the people who love you it does that to a lot of us so where youre at right now is because of what fear did to you and also because when grandma died you were already isolated so people couldnt see your pain and know that you needed support theres a simple solution but youd have to be brave enough to look fear in the face and say get off my back youre not helping me by telling me lies can you be brave enough to go back to your old louder self if you talk to the people closest to youtell them what you think and how you feel then theyll be able to give you the care that you want and deserve i wish you well as you try this,1,1,T,F,0.7755358815193176
